t,deltaV,std
-2.0,1.1422829745158525,0.014920325565884407
-1.88,1.1398770355779517,0.015331882577817311
-1.7599999999999998,1.1400509634836822,0.013468282811895542
-1.6399999999999997,1.1372793928172866,0.016405807214134628
-1.5199999999999996,1.1371050062183132,0.012823519777218415
-1.4000000000000004,1.1395767283824674,0.015035847940600207
-1.2800000000000002,1.1427907406249804,0.013333487242128607
-1.1600000000000001,1.1375140486940674,0.014597217014140944
-1.04,1.1401745983210647,0.013329223033182831
-0.9199999999999999,1.1353810857621238,0.013255683759413234
-0.7999999999999998,1.1407545339324032,0.014564038903780501
-0.6799999999999997,1.1415671981683773,0.01632244040213469
-0.5600000000000005,1.1397838732421361,0.016806598978822102
-0.4399999999999995,1.138462587707531,0.019014123645848563
-0.3200000000000003,1.1396266666610704,0.01533427902883726
-0.20000000000000018,1.1360433233278375,0.01473876209195759
-0.08000000000000007,1.1440622208776186,0.01727842421635138
0.040000000000000036,1.2293990388741625,0.039602818302347596
0.16000000000000014,1.3360160207261655,0.030317723075950653
0.27999999999999936,1.4282133853155925,0.025491706982755217
0.40000000000000036,1.5157546055153885,0.022263316622753326
0.5199999999999996,1.590725675915423,0.020333675581426746
0.6399999999999997,1.658377948530015,0.018068644085957854
0.7599999999999998,1.5821892719451849,0.051577076934906
0.8799999999999999,1.344906207286482,0.08956506720601674
1.0,1.0871658130862754,0.07167534190492823
1.12,0.9299357844407203,0.052457562879850254
1.2400000000000002,0.867235332965061,0.05264720643815386
1.3599999999999994,0.8578333156080832,0.030679868009038772
1.4800000000000004,0.913963863674934,0.021222870777104875
1.5999999999999996,0.9756371187752141,0.018130342488999997
1.7199999999999998,1.031345474798199,0.015895335751276597
1.8399999999999999,1.0809206525491797,0.012472497765037137
1.96,1.1136188472239623,0.00779920158019256
2.08,1.1308557514433228,0.01030180267671736
2.1999999999999993,1.1364633230389287,0.013928006710368179
2.3200000000000003,1.1424646654161952,0.016635635994791904
2.4399999999999995,1.1384588589383406,0.01418348760914366
2.5599999999999987,1.1382638037581898,0.01202877669892645
2.6799999999999997,1.1415144800593626,0.020267779579799527
2.8000000000000007,1.1403815897273004,0.013755302960024657
2.92,1.1420352385780177,0.013982315952297214
3.039999999999999,1.1383272028035227,0.014014906754576537
3.16,1.1369634104230593,0.018123326762041852
3.2799999999999994,1.1396588641917218,0.013636209224106546
3.3999999999999986,1.13716762401001,0.01633543657029252
3.5199999999999996,1.1429681908060396,0.016047061543542754
3.6400000000000006,1.1364231072416378,0.013385422082511728
3.76,1.137649088487605,0.013639891954169594
3.879999999999999,1.1381302099723436,0.013656285783572048
4.0,1.1364853830603256,0.012372743092930167
4.120000000000001,1.1374686840088801,0.013693452769978362
4.24,1.1427344585516748,0.01409048455809104
4.359999999999999,1.1352773674143954,0.013807583137292148
4.48,1.1386546206511772,0.018178664188423562
4.6,1.135455854802852,0.014271290100375481
4.719999999999999,1.1351314024806947,0.013041987297003501
4.84,1.1401709605480326,0.014661488094228235
4.960000000000001,1.1392673834145848,0.01147095548168229
5.08,1.136974207318263,0.014611578192020922
5.199999999999999,1.1350851033129792,0.013664328458098176
5.32,1.135931359820811,0.014392998814212526
5.4399999999999995,1.1370987143266924,0.015074736193162207
5.559999999999999,1.1380363056525176,0.015031584182843576
5.68,1.1362541509741055,0.013062567635141376
5.800000000000001,1.1379741327572042,0.012979052580425473
5.92,1.1361088360205898,0.014332053738618981
6.039999999999999,1.1345596127965079,0.014846943991862146
6.16,1.135763203650893,0.015235555731051162
6.279999999999999,1.1382336987145896,0.01506231367136924
6.4,1.1378724289652138,0.01391624522313641
6.52,1.139300775510627,0.016343861195183565
6.640000000000001,1.1394750532546818,0.014885468072417361
6.76,1.135723402680426,0.01368118482696462
6.879999999999999,1.135048203753862,0.013746350446817036
7.0,1.1403256203052368,0.014865945395215944
7.119999999999999,1.1385461031418558,0.013366797783108385
7.24,1.1386367944500888,0.013823996348202241
7.359999999999999,1.1383449049316436,0.014008719198575423
7.48,1.1367144415617931,0.014133126263970643
7.6,1.1357833006234754,0.013487915372143054
7.719999999999999,1.1401704864297029,0.014925133006473404
7.84,1.1405426562924195,0.014523065108052017
7.959999999999999,1.1403709938092506,0.015493892105284977
8.08,1.1414448023627481,0.013660775873639203
8.2,1.1367854354948996,0.013208210679482895
8.32,1.1356987150174256,0.017039034056771683
8.44,1.1361835811172145,0.01342818723109731
8.559999999999999,1.138166276690237,0.014790904049704448
8.68,1.1390387236497033,0.012715352953418553
8.799999999999999,1.1401170264511575,0.014596532272928554
8.92,1.1372737426789865,0.018294720486879145
9.04,1.138259759965229,0.015098940810941904
9.16,1.1362856428663557,0.018362157246657976
9.28,1.1350624298786343,0.014662260962461336
9.4,1.1380926053885323,0.014892275090491288
9.52,1.1383118648646748,0.015587185671566198
9.639999999999999,1.1384938384790626,0.015118435262348549
9.76,1.14013394112694,0.01619583707034297
9.879999999999999,1.1382133948703173,0.01355764717401759
