t,tau,std
-2.0,0.8789919327955198,0.05245130955863736
-1.88,0.8867257817187812,0.06070513614446352
-1.7599999999999998,0.8689171870717307,0.06173778871337385
-1.6399999999999997,0.8757762594801005,0.06365999908576157
-1.5199999999999996,0.8885925728381894,0.06264660336314642
-1.4000000000000004,0.8844760590876996,0.06150178537497727
-1.2800000000000002,0.8880498465979604,0.06809499142002294
-1.1600000000000001,0.8841879781232729,0.07252310879977497
-1.04,0.8763606462653062,0.05928639885317573
-0.9199999999999999,0.8641556946708322,0.06732933907196459
-0.7999999999999998,0.880293714496221,0.05253499066523842
-0.6799999999999997,0.8809253950263352,0.0696737995804895
-0.5600000000000005,0.8644081033973694,0.051916502781430014
-0.4399999999999995,0.8867738723565182,0.07214242351204905
-0.3200000000000003,0.8684538565197274,0.0717943214405994
-0.20000000000000018,0.8734390511878873,0.06239812348201411
-0.08000000000000007,0.8751070966920181,0.054378396937420984
0.040000000000000036,0.9302743639699436,0.06935006633776959
0.16000000000000014,0.9486645514929752,0.0666172474845767
0.27999999999999936,0.9670082580668778,0.05135629902950893
0.40000000000000036,0.981055879915804,0.06112240843464861
0.5199999999999996,0.9782706234469685,0.06930919257245219
0.6399999999999997,0.9790986065737716,0.07640339924215105
0.7599999999999998,0.9731569406214382,0.07105709722390907
0.8799999999999999,0.9285841278307442,0.08351013733645139
1.0,0.8464564304286949,0.08763211025816982
1.12,0.7837217316835204,0.07684780127102737
1.2400000000000002,0.7312634297944018,0.05652493527170021
1.3599999999999994,0.6798461262879376,0.04721021406381984
1.4800000000000004,0.653702839448556,0.05246982529154665
1.5999999999999996,0.6440772619164711,0.04833605691936004
1.7199999999999998,0.6242678804849616,0.0536939182415935
1.8399999999999999,0.602062779028036,0.04129889993917937
1.96,0.5847232582801117,0.04409764286419316
2.08,0.5750414513615548,0.041258492614734854
2.1999999999999993,0.5821973037196189,0.04197635948720631
2.3200000000000003,0.5689631009414233,0.03769251375211663
2.4399999999999995,0.5680231893135382,0.0415440413273583
2.5599999999999987,0.5731339184988568,0.03779756950286321
2.6799999999999997,0.5705152929198394,0.039589104071366635
2.8000000000000007,0.5682354132250794,0.037250116376532715
2.92,0.5766335299546289,0.04178153684648587
3.039999999999999,0.5716834730562791,0.038010358076894415
3.16,0.5783666737202771,0.0392506018770982
3.2799999999999994,0.569581831771241,0.03641461374123271
3.3999999999999986,0.5770840168222436,0.04525311609030713
3.5199999999999996,0.5729323131346011,0.034711541813495055
3.6400000000000006,0.5731672891667958,0.039840519878040465
3.76,0.5796512220311543,0.03708470300955161
3.879999999999999,0.5753587873600177,0.04300463377884697
4.0,0.6286419094606307,0.048701455720056755
4.120000000000001,0.7257150476698445,0.05911464690656705
4.24,0.7950307798297661,0.049451071906842364
4.359999999999999,0.8289009743506707,0.04677007356570917
4.48,0.8531841516707175,0.04450845166840532
4.6,0.8510868276174164,0.03510066575013647
4.719999999999999,0.8390959397293152,0.05651624692229463
4.84,0.7521347984045498,0.11220577122067958
4.960000000000001,0.7013390636298831,0.10770526273570591
5.08,0.6993331086937324,0.05720604571128272
5.199999999999999,0.7186095234631806,0.041126560817727566
5.32,0.7597142373594137,0.04684420423800674
5.4399999999999995,0.79235236687012,0.04279180870638515
5.559999999999999,0.8448293177351065,0.044941972750668184
5.68,0.8945590722997354,0.049321677011614384
5.800000000000001,0.9049679335347504,0.0754391447060347
5.92,0.8876735372101727,0.05789543000982783
6.039999999999999,0.8966757408240363,0.06883201851979713
6.16,0.8954455549561889,0.066799722724505
6.279999999999999,0.8831619077635479,0.06490060363011925
6.4,0.8786208935668173,0.056684895057302266
6.52,0.8929336029809397,0.07142239561549588
6.640000000000001,0.902305002151659,0.06745274808497856
6.76,0.8830115244397937,0.06947117484942603
6.879999999999999,0.8756908118198871,0.07162642636144534
7.0,0.8811428958651893,0.062321859972334984
7.119999999999999,0.881005400360024,0.0641784845296449
7.24,0.8747088189717698,0.05707930500531282
7.359999999999999,0.868728185482636,0.06154751531395752
7.48,0.8798528089007103,0.06566286934896715
7.6,0.8774075134420725,0.07244548390215562
7.719999999999999,0.8673875555667678,0.06251167848161072
7.84,0.8730850713430649,0.07541338720473284
7.959999999999999,0.8690407931957362,0.058061375569141524
8.08,0.8789623011904499,0.067549993161282
8.2,0.8721836357717966,0.07975017086032142
8.32,0.8899839699458225,0.06484474487288264
8.44,0.8541134380710121,0.06257516826652408
8.559999999999999,0.8725130694987506,0.066846782815188
8.68,0.8791088355662068,0.06185127805379521
8.799999999999999,0.8644786845438821,0.06733604038373724
8.92,0.8714790509843513,0.06960364729943216
9.04,0.8709304429819128,0.06654930320610628
9.16,0.8813387559170611,0.06188663994272954
9.28,0.8645701921253622,0.06374713545205621
9.4,0.8691924094374651,0.0490713036591715
9.52,0.8728824345865479,0.05982774272123799
9.639999999999999,0.8741794907539291,0.06099388039871021
9.76,0.8558903926928458,0.058165405642460435
9.879999999999999,0.8822705827447322,0.06422046947822263
